"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","LBI","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"1","AGFB_L001","AGFB","M. nasutus",1124,"LOW",-119.570677,37.33823,3.8,408,0.23,0.2,0.16284469,10,1.08678013523913,0.503217777777778,2.01295448038935,2.96471271368953
"2","AGFB_L011","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,2.96666666666667,302,0.233333333333333,0.2,0.05972451,10,1.1102393574062,0.510538666666667,2.04306230522806,3.03508477751957
"3","AGFB_N003","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,4.53333333333333,441.666666666667,0.346666666666667,0.2,0.142065722,10,1.53098093331116,0.706848,3.41119965069316,4.62270916838278
"4","AGFB_N004","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,5.03333333333333,317.333333333333,0.303333333333333,0.266666666666667,0.113400445,10,0.902065549872379,0.463374222222222,1.86349601791606,2.46468879460753
"5","AGFB_N005","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,8.1,628.333333333333,0.53,0.4,0.114500223,10,0.743619947360405,0.325635555555556,1.48287770542799,2.10353643990235
"6","AGFB_N007","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,3.4,457.333333333333,0.306666666666667,0.433333333333333,0.13081262,8,1.42956315895543,0.638222222222222,2.76412776412776,4.17687416325603
"7","AGFB_N008","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,15.7333333333333,303.333333333333,0.386666666666667,0.3,0.124265334,17,1.86486212870503,0.745660444444444,3.93175177889925,6.45504585910638
"8","AGFB_N009","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,5.13333333333333,330.666666666667,0.52,0.6,0.177061151,14,1.38760477542078,0.627772444444444,2.68652867063397,4.00524509307547
"9","BHEB_G001","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,2.7,294,0.17,0.2,NA,26,2.09203123422919,0.796487111111111,4.91369369998952,8.10135421085174
"10","BHEB_G002","HHBB","M. laciniatus",1199,"LOW",-119.778553,37.959056,NA,369.666666666667,0.283333333333333,NA,NA,22,2.09690588620507,0.780387555555556,4.55347602240715,8.14094190288261
"11","BHEB_G003","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,10,444.333333333333,0.643333333333333,2.13333333333333,0.077969898,28,2.12446482684413,0.80016,5.00400320256205,8.36841773698297
"12","BHEB_G005","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,3.66666666666667,360,0.57,0.433333333333333,0.056832137,26,2.19242671450593,0.821230222222222,5.59378667037928,8.95692265675423
"13","BHEB_G009","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,5.43333333333333,279,0.46,0.533333333333333,0.100694704,23,2.27833218206192,0.859751111111111,7.1301812650526,9.76038827649938
"14","BHEB_N006","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,6.03333333333333,297.666666666667,0.633333333333333,0.8,0.076547629,20,0.981059401428083,0.394627555555556,1.65187564973776,2.66728046640676
"15","BHEB_N008","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,13.1333333333333,267.666666666667,0.553333333333333,0.7,NA,26,2.04900514244739,0.764554666666667,4.24727042087618,7.760176994056
"16","CCRB_N001","NFWB","M. nasutus",875,"LOW",-119.521415,37.257397,2.86666666666667,233.333333333333,0.166666666666667,0.166666666666667,0.106745581,50,3.18240824550621,0.925834666666667,13.4833884654106,24.1047338255897
"17","CCRB_N005","OPNZ","M. laciniatus",2506,"HIGH",-119.486313176147,37.8072315532725,3.96666666666667,346.333333333333,0.2,NA,0.490444966,32,2.85669716702325,0.912540444444444,11.4338564110903,17.4039495661495
"18","CCRB_N009","SDSB","M. guttatus",1679,"MID",-120.094614,38.136194,3.7,282,0.276666666666667,0.5,0.164677509,27,2.42595865196893,0.848362666666667,6.59468204839617,11.3130695188769
"19","CFZZ_G004","SPLB","M. laciniatus",2348,"HIGH",-119.586129,37.847194,3.63333333333333,371,0.333333333333333,NA,0.576011098,7,0.403415303858551,0.156654222222222,1.18575325370693,1.49692844274662
"20","CFZZ_G008","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,3.8,391.333333333333,0.216666666666667,0.4,0.440984008,12,1.5779704525138,0.714734222222222,3.50550286049033,4.84511244004853
"21","HDRB_G005","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,3.33333333333333,364,0.31,0.6,0.493503087,23,1.62400937925028,0.661688888888889,2.955859169732,5.0733907408846
"22","HDRB_G006","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,2.53333333333333,249.666666666667,0.106666666666667,0.15,0.597599425,11,0.922726019262037,0.390801777777778,1.64150183556383,2.51614009584665
"23","HHBB_G001","TRTZ","M. laciniatus",1486,"MID",-119.70531698,37.71609798,4.23333333333333,526.666666666667,0.276666666666667,0.566666666666667,0.611128902,13,1.3037882290081,0.575224888888889,2.35418689523554,3.68322316542175
"24","HHBB_G005","TWGB","M. guttatus",1238,"MID",-119.951305,37.85882,2.33333333333333,297.666666666667,0.336666666666667,0.5,0.114591175,7,0.716272946866171,0.301258666666667,1.43114476315508,2.04679048018621
"25","HHBB_G009","TWGB","M. guttatus",1238,"MID",-119.951305,37.85882,3.36666666666667,278.666666666667,0.243333333333333,0.166666666666667,0.146681472,7,1.19682530015176,0.627690666666667,2.68593857437543,3.30959326161722
