"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA","Observed","Shannon","Simpson_1minusD","hill_1","hill_2"
"1","AGFB_L005","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,1.86666666666667,260.666666666667,0.233333333333333,NA,231452,476635,0.514404104,-0.288695575197668,0.271066772286538,2.41608549834019,-0.632023214705406,NA,8,1.07467687770781,0.551220782441565,2.92904630745249,2.22826717654275
"2","AGFB_L010","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,1.8,256,0.21,NA,193921,322675,0.399020686,-0.39900458906819,0.255272505103306,2.40823996531185,-0.677780705266081,NA,19,1.08072559547556,0.539784286405652,2.94681697258265,2.17289408088625
"3","AGFB_N003","AGFB","M. nasutus",1124,"LOW",-119.570677,37.33823,3.8,408,0.23,0.2,117550,140416,0.16284469,-0.788226398236946,0.57978359661681,2.61066016308988,-0.638272163982407,-0.698970004336019,11,1.52598743517828,0.707848534164372,4.59968321665113,3.42288202162445
"4","BHEB_G002","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,2.96666666666667,302,0.233333333333333,0.2,1190763,1266398,0.05972451,-1.2238474046617,0.47226875192525,2.48000694295715,-0.632023214705406,-0.698970004336019,24,2.10070762821033,0.770283937263386,8.17195056980498,4.35320015538735
"5","BHEB_G003","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,4.53333333333333,441.666666666667,0.346666666666667,0.2,881947,1027989,0.142065722,-0.847510697175017,0.656417653650555,2.64509462355316,-0.460087915420882,-0.698970004336019,35,2.18366020503574,0.812853830327017,8.87874488322982,5.34341686900346
"6","BHEB_G007","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,3.36666666666667,345.666666666667,0.313333333333333,0.3,503275,561053,0.102981358,-0.987241385493657,0.52720011906298,2.53865750166938,-0.503993401119964,-0.522878745280338,4,1.25953477225451,0.6944,3.52378174493132,3.27225130890052
"7","BHEB_G008","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,4.6,472.333333333333,0.383333333333333,0.233333333333333,1720237,1879375,0.084676023,-1.07223954779144,0.662757831681574,2.6742485955278,-0.416423414366051,-0.632023214705406,3,0.858740913006287,0.520710059171598,2.36018714118578,2.08641975308642
"8","BHEB_G009","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,5.03333333333333,317.333333333333,0.303333333333333,0.266666666666667,327806,369734,0.113400445,-0.945385241204442,0.701855692573507,2.50151569366481,-0.518079862398569,-0.574031267727719,28,2.33903772851834,0.868816669209283,10.37125179964,7.62291972594708
"9","BHEB_N004","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,17.3333333333333,515,0.456666666666667,0.566666666666667,768063,835234,0.080421774,-1.0946263511546,1.23888208891514,2.71180722904119,-0.340400687563256,-0.246672333341388,3,1.03972077083992,0.625,2.82842712474619,2.66666666666667
"10","BHEB_N005","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,16.3666666666667,632.666666666667,0.386666666666667,0.4,893027,952347,0.062288221,-1.20559407273665,1.21396023740331,2.80117495337161,-0.412663265492744,-0.397940008672038,1,0,0,1,1
