"","Unique_ID","Site","Species","Elevation_m","Elevation_cat","Longitude","Latitude","ACI","LT","LPS","LMA","LBI","Observed","Shannon","Simpson_1minusD","hill_2","hill_1"
"1","AGFB_L001","AGFB","M. laciniatus",1124,"LOW",-119.570677,37.33823,1.8,256,0.21,NA,0.399020686,10,0.982617412497134,0.459029333333333,1.84852906380629,2.67143935785587
"2","AGFB_L010","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,2.96666666666667,302,0.233333333333333,0.2,0.05972451,13,1.01203015691306,0.521596444444445,2.09028546796382,2.75118067777712
"3","AGFB_N003","BHEB","M. guttatus",1209,"LOW",-119.393233,37.053544,5.03333333333333,317.333333333333,0.303333333333333,0.266666666666667,0.113400445,10,1.55028502348926,0.718869333333333,3.55706480497799,4.71281325365605
"4","AGFB_N004","BHEB","M. nasutus",1209,"LOW",-119.393233,37.053544,8.1,628.333333333333,0.53,0.4,0.114500223,9,0.893093456602403,0.449752888888889,1.81736528880761,2.44267428266572
"5","AGFB_N005","CCRB","M. nasutus",666,"LOW",-119.99792,37.486337,3.4,457.333333333333,0.306666666666667,0.433333333333333,0.13081262,9,0.806645764480689,0.36688,1.57947940358858,2.24038060522601
"6","AGFB_N007","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,15.7333333333333,303.333333333333,0.386666666666667,0.3,0.124265334,8,1.41460664526747,0.629258666666667,2.69729838593665,4.11486754496647
"7","AGFB_N008","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,5.13333333333333,330.666666666667,0.52,0.6,0.177061151,16,1.91135091217725,0.756739555555556,4.11082041013198,6.76221779326999
"8","AGFB_N009","HDRB","M. guttatus",1037,"LOW",-119.534709,37.288671,21.4,322,0.593333333333333,0.5,0.119864564,14,1.4381254836355,0.647911111111111,2.84019187073971,4.21279146435176
"9","BHEB_G001","HHBB","M. guttatus",1199,"LOW",-119.778553,37.959056,2.7,294,0.17,0.2,NA,26,2.13542278420198,0.816828444444444,5.45936292874197,8.46062276846025
"10","BHEB_G003","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,10,444.333333333333,0.643333333333333,2.13333333333333,0.077969898,29,2.16574417275535,0.808732444444444,5.22827824664461,8.72108949981335
"11","BHEB_G005","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,3.66666666666667,360,0.57,0.433333333333333,0.056832137,26,2.29867159961372,0.840949333333333,6.28730467440145,9.96094154355187
"12","BHEB_N008","HUOB","M. guttatus",1851,"HIGH",-119.273507,37.150723,13.1333333333333,267.666666666667,0.553333333333333,0.7,NA,25,1.96870689427089,0.746510222222222,3.94493225236345,7.16141003803915
"13","CCRB_N009","OPNZ","M. laciniatus",2506,"HIGH",-119.486313176147,37.8072315532725,4.3,311,0.25,NA,0.511844414,27,2.41848062469234,0.846236444444444,6.50349165240716,11.2287856078944
