"","ASV","Unique_ID","Abundance","Site","sample_Species","Sample_Date","Elevation_m","Elevation_cat","Longitude","Latitude","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"27","ASV_1","YCNB_L002",41272,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"18","ASV_1","SDSB_G004",41134,"SDSB","M. guttatus","5/21/2022",1679,"MID",-120.094614,38.136194,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"58","ASV_1","HDRB_G010",40942,"HDRB","M. guttatus","5/12/2022",1037,"LOW",-119.534709,37.288671,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"27673","ASV_5","WCFB_L009",39483,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"30319","ASV_6","HDRB_G008",36914,"HDRB","M. guttatus","5/12/2022",1037,"LOW",-119.534709,37.288671,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"1259","ASV_11","WCFB_G008",34970,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"73","ASV_1","HUOB_G112",34799,"HUOB","M. guttatus","5/25/2022",1851,"HIGH",-119.273507,37.150723,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"47","ASV_1","HHBB_L010",34246,"HHBB","M. laciniatus","4/20/2022",1199,"LOW",-119.778553,37.959056,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"12979","ASV_21","TRTZ_L004",33044,"TRTZ","M. laciniatus","5/2/2022",1486,"MID",-119.70531698,37.71609798,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__globuliferum"
"1362","ASV_11","WCFB_L010",32249,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"11467","ASV_2","OPNZ_L105",32160,"OPNZ","M. laciniatus","6/14/2022",2506,"HIGH",-119.486313176147,37.8072315532725,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"133","ASV_1","YCNB_L004",31858,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"2613","ASV_12","BHEB_N006",31747,"BHEB","M. nasutus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"32066","ASV_7","CCRB_N001",30082,"CCRB","M. nasutus","5/5/2022",666,"LOW",-119.99792,37.486337,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"78","ASV_1","OSKB_L004",29852,"OSKB","M. laciniatus","6/2/2022",2399,"HIGH",-119.594572,37.842693,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"4","ASV_1","AGFB_N005",28842,"AGFB","M. nasutus","4/22/2022",1124,"LOW",-119.570677,37.33823,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"148","ASV_1","WCFB_G009",28472,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"34731","ASV_9","WCFB_G004",27394,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"11474","ASV_2","HHBB_G001",26870,"HHBB","M. guttatus","4/20/2022",1199,"LOW",-119.778553,37.959056,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"4123","ASV_13","AGFB_L010",25446,"AGFB","M. laciniatus","4/22/2022",1124,"LOW",-119.570677,37.33823,"k__Fungi",NA,NA,NA,NA,NA,NA
"11501","ASV_2","WCFB_L010",24967,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"140","ASV_1","SDSB_G003",24686,"SDSB","M. guttatus","5/21/2022",1679,"MID",-120.094614,38.136194,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"34735","ASV_9","WCFB_L010",24016,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"19363","ASV_3","YCNB_L001",23633,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"24715","ASV_4","HHBB_G001",23220,"HHBB","M. guttatus","4/20/2022",1199,"LOW",-119.778553,37.959056,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"97","ASV_1","WCFB_G004",22901,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"30443","ASV_6","HDRB_G010",21909,"HDRB","M. guttatus","5/12/2022",1037,"LOW",-119.534709,37.288671,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"13780","ASV_22","TWGB_G009",21464,"TWGB","M. guttatus","5/2/2022",1238,"MID",-119.951305,37.85882,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Microdochium","s__nivale"
"5235","ASV_14","HDRB_G010",21456,"HDRB","M. guttatus","5/12/2022",1037,"LOW",-119.534709,37.288671,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"19390","ASV_3","KNOB_L002",21382,"KNOB","M. laciniatus","6/14/2022",2572,"HIGH",-119.440369,37.853852,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"90","ASV_1","AGFB_N009",21034,"AGFB","M. nasutus","4/22/2022",1124,"LOW",-119.570677,37.33823,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"27647","ASV_5","HUOB_G092",20598,"HUOB","M. guttatus","5/25/2022",1851,"HIGH",-119.273507,37.150723,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"19350","ASV_3","OSKB_L005",20142,"OSKB","M. laciniatus","6/2/2022",2399,"HIGH",-119.594572,37.842693,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"7076","ASV_16","HHBB_L010",19911,"HHBB","M. laciniatus","4/20/2022",1199,"LOW",-119.778553,37.959056,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Protomyces","s__inouyei"
"11478","ASV_2","BHEB_G003",19781,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"5254","ASV_14","BHEB_N006",19723,"BHEB","M. nasutus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"111","ASV_1","WCFB_G003",18968,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"147","ASV_1","BHEB_G001",18700,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"24679","ASV_4","OSKB_L005",18693,"OSKB","M. laciniatus","6/2/2022",2399,"HIGH",-119.594572,37.842693,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"150","ASV_1","HUOB_G092",18687,"HUOB","M. guttatus","5/25/2022",1851,"HIGH",-119.273507,37.150723,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"143","ASV_1","CFZZ_G008",18468,"CFZZ","M. guttatus","6/24/2021",1901,"HIGH",-119.802952,37.755986,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"19385","ASV_3","YCNB_L008",18217,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"23","ASV_1","TWGB_G007",17928,"TWGB","M. guttatus","5/2/2022",1238,"MID",-119.951305,37.85882,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"14","ASV_1","WSHB_G004",17922,"WSHB","M. guttatus","5/26/2022",1235,"MID",-119.647878,37.543343,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"31","ASV_1","TRTZ_L010",17506,"TRTZ","M. laciniatus","5/2/2022",1486,"MID",-119.70531698,37.71609798,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"16045","ASV_25","HUOB_G062",17055,"HUOB","M. guttatus","5/25/2022",1851,"HIGH",-119.273507,37.150723,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"8564","ASV_17","WCFB_L009",16956,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae"
"142","ASV_1","YCNB_L010",16882,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"39","ASV_1","YCNB_L001",16058,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"27661","ASV_5","WCFB_L010",15981,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"24695","ASV_4","OPNZ_L104",15822,"OPNZ","M. laciniatus","6/14/2022",2506,"HIGH",-119.486313176147,37.8072315532725,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"19355","ASV_3","WCFB_L010",15734,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"151","ASV_1","OSKB_L002",15096,"OSKB","M. laciniatus","6/2/2022",2399,"HIGH",-119.594572,37.842693,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"16522","ASV_26","HDRB_G005",15067,"HDRB","M. guttatus","5/12/2022",1037,"LOW",-119.534709,37.288671,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__vesicarium"
"106","ASV_1","TRTZ_L003",15046,"TRTZ","M. laciniatus","5/2/2022",1486,"MID",-119.70531698,37.71609798,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"36","ASV_1","HULB_L002",15016,"HULB","M. laciniatus","6/2/2021",2178,"HIGH",-119.14962,37.23553,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"38","ASV_1","KNOB_L001",14612,"KNOB","M. laciniatus","6/14/2022",2572,"HIGH",-119.440369,37.853852,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"32034","ASV_7","HHBB_G001",14591,"HHBB","M. guttatus","4/20/2022",1199,"LOW",-119.778553,37.959056,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"27741","ASV_5","BHEB_G009",13933,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"15223","ASV_24","WCFB_L010",13777,"WCFB","M. laciniatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__leptinellae"
"13","ASV_1","BHEB_G003",13576,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"6","ASV_1","SDSB_G005",13052,"SDSB","M. guttatus","5/21/2022",1679,"MID",-120.094614,38.136194,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"19446","ASV_3","YCNB_L010",12844,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"19321","ASV_3","SDSB_G005",12394,"SDSB","M. guttatus","5/21/2022",1679,"MID",-120.094614,38.136194,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"27715","ASV_5","CCRB_N001",11887,"CCRB","M. nasutus","5/5/2022",666,"LOW",-119.99792,37.486337,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__chernovii"
"19367","ASV_3","YCNB_L005",11530,"YCNB","M. laciniatus","6/2/2022",2357,"HIGH",-119.572754,37.843904,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"34708","ASV_9","WCFB_G009",11256,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"70","ASV_1","HDRB_G008",11128,"HDRB","M. guttatus","5/12/2022",1037,"LOW",-119.534709,37.288671,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"32122","ASV_7","AGFB_N004",11098,"AGFB","M. nasutus","4/22/2022",1124,"LOW",-119.570677,37.33823,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"18561","ASV_29","KNOB_L002",11064,"KNOB","M. laciniatus","6/14/2022",2572,"HIGH",-119.440369,37.853852,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__tephrensis"
"20602","ASV_32","BHEB_G009",11058,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae"
"4097","ASV_13","WSHB_G005",10883,"WSHB","M. guttatus","5/26/2022",1235,"MID",-119.647878,37.543343,"k__Fungi",NA,NA,NA,NA,NA,NA
"11563","ASV_2","WSHB_G004",10731,"WSHB","M. guttatus","5/26/2022",1235,"MID",-119.647878,37.543343,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"33","ASV_1","CFZZ_G004",10338,"CFZZ","M. guttatus","6/24/2021",1901,"HIGH",-119.802952,37.755986,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"20088","ASV_31","WCFB_G007",10314,"WCFB","M. guttatus","5/12/2022",1380,"MID",-119.719077,37.723593,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__radicina"
"22524","ASV_35","HHBB_G001",10115,"HHBB","M. guttatus","4/20/2022",1199,"LOW",-119.778553,37.959056,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Blumeria","s__graminis"
"33546","ASV_8","TRTZ_L002",10088,"TRTZ","M. laciniatus","5/2/2022",1486,"MID",-119.70531698,37.71609798,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__tenuissima"
"56","ASV_1","BHEB_N008",9922,"BHEB","M. nasutus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"30385","ASV_6","AGFB_N009",9904,"AGFB","M. nasutus","4/22/2022",1124,"LOW",-119.570677,37.33823,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"19402","ASV_3","OSKB_L004",9746,"OSKB","M. laciniatus","6/2/2022",2399,"HIGH",-119.594572,37.842693,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"11695","ASV_20","BHEB_G009",9590,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__watticus"
"24350","ASV_39","OPNZ_L105",9437,"OPNZ","M. laciniatus","6/14/2022",2506,"HIGH",-119.486313176147,37.8072315532725,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Discinellaceae","g__Gyoerffyella",NA
"32173","ASV_7","WSHB_G004",9419,"WSHB","M. guttatus","5/26/2022",1235,"MID",-119.647878,37.543343,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"19331","ASV_3","TRTZ_L002",9165,"TRTZ","M. laciniatus","5/2/2022",1486,"MID",-119.70531698,37.71609798,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__patagonica"
"127","ASV_1","BHEB_G009",8961,"BHEB","M. guttatus","4/22/2022",1209,"LOW",-119.393233,37.053544,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
